供应商名称,是否在合格供应商库,库内覆盖类别,库内物料数,库内物料示例,历史采购次数,最近采购流水号,最近采购日期,采购物料种类
滴滴,否,,0,,1,202605180010,2026-05-18,1
瑞普利金（上海）生物科技有限公司,是,生产耗材,1,中空纤维,0,,,0
生工生物工程（上海）股份有限公司,是,原材料,2,硫酸卡那霉素,0,,,0
百林科制药装备科技（江苏）有限公司,是,生产耗材,1,200L一次性使用搅拌袋,0,,,0
百林赛医药科技（北京）有限公司,是,生产耗材,1,200L一次性使用搅拌袋,0,,,0
碧云天,否,,0,,1,202511250005,2025-11-25,1
精创京东官方旗舰店,否,,0,,1,202605220009,2026-05-22,1
美团,否,,0,,1,202605180010,2026-05-18,1
翌圣生物科技（上海）股份有限公司,是,原材料,1,Hiff,0,,,0
联科生物,否,,0,,3,202507240009,2025-07-24,3
苏州为度生物技术有限公司天津分公司,否,,0,,1,202502260012,2025-02-26,1
苏州莱士输血器材有限公司,是,"包装材料, 生产耗材",2,转移袋Tr100; 转移袋（200mL）,0,,,0
英潍捷基（上海）贸易有限公司,是,"原材料, 生产耗材",6,DMEM培养基; Opti-MEM培养基; POROS OLIGO DT25; Trpan Blue Stain（0.4%）; 细胞扩增 SFM,14,202512150003,2025-12-15,8
衢州莱檬科技有限公司,是,包装材料,2,VIAL EZ-FILL,0,,,0
衷博瑞佳生物技术（上海）有限公司,是,生产耗材,1,冻存袋,0,,,0
西格玛奥德里奇（上海）贸易有限公司,是,原材料,1,消泡剂SE-15,0,,,0
贵州省欣紫鸿药用辅料有限公司,是,原材料,1,氨丁三醇,0,,,0
赛多利斯,是,生产耗材,2,Sterile Capsuie,0,,,0
赛多利斯斯泰迪生物设备（北京）有限公司,是,生产耗材,1,Flexsafe® RM5OL Optical,0,,,0
赛默飞,是,"原材料, 生产耗材",6,Nunc离心管; POROS OLIGO DT25; 杜氏磷酸盐缓冲液（DPBS）; 细胞扩增 SFM,1,202510310018,2025-10-31,1
赛默飞世尔科技,是,原材料,1,DMEM培养基,0,,,0
达科为,否,,0,,17,202512110017,2025-12-11,17
迈安纳（上海）科技有限公司,否,,0,,1,202508270007,2025-08-27,1
默克化工技术（上海）有限公司,是,生产耗材,3,100KD膜包; 除菌过滤杯,0,,,0
